index,gas
100,NA
101,NA
102,NA
103,Carbon Dioxide Equivalent - AR5
104,Other - AR5
105,Hydrofluorocarbons - AR5
106,Perfluorocarbons - AR5
107,Carbon Dioxide - AR5
108,Methane - AR5
109,Nitrous Oxide - AR5
110,Sulphur Hexafluoride - AR5
111,Carbon Dioxide Equivalent Confidential - AR5
112,HFC-23 - AR5
113,HFC-32 - AR5
114,HFC-41 - AR5
115,HFC-43-10mee - AR5
116,HFC-125 - AR5
117,HFC-134 - AR5
118,HFC-134a - AR5
119,HFC-143 - AR5
120,HFC-143a - AR5
121,HFC-152a - AR5
122,HFC-227ea - AR5
123,HFC-236fa - AR5
124,HFC-245ca - AR5
125,Unspecified mix of HFCs - AR5
126,CF4 - AR5
127,C2F6 - AR5
128,C3F8 - AR5
129,C4F10 - AR5
130,c-C4F8 - AR5
131,C5F12 - AR5
132,C6F14 - AR5
133,Other Perfluorocarbons - AR5
134,HFC-245fa - AR5
135,HFC-365mfc - AR5
136,NA
137,NA
138,NA
139,NA
140,NA
141,NA
142,NA
143,NA
144,NA
145,NA
146,NA
147,NA
148,NA
149,NA
150,NA
