year,location,sector_code,sector,carbon_monoxide,carbon_dioxide,methane,nitrous_oxide,nitrogen_oxides,non-methane_volatile_organic_compounds,hfc-23,hfc-32,hfc-41,hfc-43-10mee,hfc-125,hfc-134,hfc-134a,hfc-143,hfc-143a,hfc-152a,hfc-227ea,hfc-236fa,hfc-245ca,unspecified_mix_of_hfcs,cf4,c2f6,c3f8,c4f10,c-c4f8,c5f12,c6f14,sulphur_hexafluoride,sulphur_dioxide,hfc-245fa,hfc-365mfc,black_carbon,pm_2.5,pm_10,carbon_dioxide_equivalent_-_ar5,other_-_ar5,hydrofluorocarbons_-_ar5,perfluorocarbons_-_ar5,carbon_dioxide_-_ar5,methane_-_ar5,nitrous_oxide_-_ar5,sulphur_hexafluoride_-_ar5,carbon_dioxide_equivalent_confidential_-_ar5,hfc-23_-_ar5,hfc-32_-_ar5,hfc-41_-_ar5,hfc-43-10mee_-_ar5,hfc-125_-_ar5,hfc-134_-_ar5,hfc-134a_-_ar5,hfc-143_-_ar5,hfc-143a_-_ar5,hfc-152a_-_ar5,hfc-227ea_-_ar5,hfc-236fa_-_ar5,hfc-245ca_-_ar5,unspecified_mix_of_hfcs_-_ar5,cf4_-_ar5,c2f6_-_ar5,c3f8_-_ar5,c4f10_-_ar5,c-c4f8_-_ar5,c5f12_-_ar5,c6f14_-_ar5,other_perfluorocarbons_-_ar5,hfc-245fa_-_ar5,hfc-365mfc_-_ar5
1990,Australia,,Total UNFCCC,25261.62,446550.17,5696.92,67.96,2222.27,3092.59,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.51,0.07,NA,NA,NA,NA,NA,0.01,1585.27,NA,NA,641.61,4216.24,NA,629638.27,5564.52,1193.65,4143.53,446550.17,159513.75,18009.84,227.33,NA,1193.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3403.51,740.02,NA,NA,NA,NA,NA,NA,NA,NA
1991,Australia,,Total UNFCCC,24150.67,434176.91,5624.02,65.82,2166.25,2954.64,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.51,0.07,NA,NA,NA,NA,NA,0.01,1570.04,NA,NA,582.87,3830.22,NA,614678.77,5587.23,1193.65,4146.89,434176.91,157472.61,17442.02,246.69,NA,1193.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3406.26,740.62,NA,NA,NA,NA,NA,NA,NA,NA
1992,Australia,,Total UNFCCC,22395.33,374160.49,5518.98,64.15,2159.26,2749.31,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.51,0.07,NA,NA,NA,NA,NA,0.01,1652.1,NA,NA,446.95,2937.07,NA,551215.31,5523.21,1116.99,4140.18,374160.49,154531.41,17000.21,266.04,NA,1116.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3400.75,739.42,NA,NA,NA,NA,NA,NA,NA,NA
1993,Australia,,Total UNFCCC,22113.68,357463.66,5369.17,65.13,2190.98,2695.46,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37,0.05,NA,NA,NA,NA,NA,0.01,1742.38,NA,NA,392.97,2582.33,NA,529861.4,4800.48,1533.14,2981.97,357463.66,150336.7,17260.56,285.37,NA,1533.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2449.4,532.57,NA,NA,NA,NA,NA,NA,NA,NA
1994,Australia,,Total UNFCCC,22247.86,361052.12,5237.01,66.81,2197.93,2677.51,0.07,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0.24,0.03,NA,NA,NA,NA,NA,0.01,1764.37,0,0,365.89,2404.4,NA,528506.93,3113.85,862.49,1946.68,361052.12,146636.21,17704.75,304.68,NA,860.37,0.06,NA,NA,0.65,0,0.74,NA,0.61,0,0.02,0.01,NA,NA,1599.01,347.67,NA,NA,NA,NA,NA,NA,0.02,0.01
1995,Australia,,Total UNFCCC,22409.1,343589.4,5176.73,63.89,2218.69,2659.84,0.06,0,NA,0,0.02,0,0.06,NA,0,NA,0,0,NA,NA,0.17,0.02,NA,NA,NA,NA,NA,0.01,1673.48,NA,NA,350.6,2303.93,NA,508078.87,2609.8,907.05,1376.83,343589.4,144948.55,16931.12,325.92,NA,761.94,0.72,NA,0.03,61.33,0.02,71.92,NA,8.89,NA,2.2,0,NA,NA,1130.93,245.9,NA,NA,NA,NA,NA,NA,NA,NA
1996,Australia,,Total UNFCCC,24026.7,344317.7,5175.86,68.89,2325.14,2690.71,0,0,NA,0,0.05,0,0.14,NA,0,NA,0,0,NA,NA,0.16,0.02,NA,NA,NA,NA,NA,0.01,1761.48,NA,NA,326.2,2143.57,NA,509425.69,1927.05,360.57,1268.5,344317.7,144923.95,18256.99,297.97,NA,0.21,1.8,NA,0.07,152.3,0.06,178.6,NA,22.07,NA,5.47,0,NA,NA,1041.95,226.55,NA,NA,NA,NA,NA,NA,NA,NA
1997,Australia,,Total UNFCCC,24263.68,349078.26,5282.73,71.2,2388.44,2689.74,0,0,NA,0,0.08,0,0.23,NA,0.01,NA,0,0,NA,NA,0.14,0.02,NA,NA,NA,NA,NA,0.01,1817.57,NA,NA,338.27,2222.89,NA,517850.24,1987.28,607.72,1104.59,349078.26,147916.46,18868.25,274.96,NA,0.35,3.03,NA,0.11,256.69,0.1,301.01,NA,37.2,NA,9.21,0,NA,NA,907.32,197.28,NA,NA,NA,NA,NA,NA,NA,NA
1998,Australia,,Total UNFCCC,24174.13,349553.17,5239.11,71.37,2436.82,2663.68,0,0.01,NA,0,0.11,0,0.32,NA,0.01,NA,0,0,NA,NA,0.19,0.02,NA,NA,NA,NA,NA,0.01,1742.91,NA,NA,335.62,2205.45,NA,517754.91,2593.47,852.42,1493.46,349553.17,146695.02,18913.24,247.58,NA,0.5,4.25,NA,0.15,360.06,0.14,422.21,NA,52.18,NA,12.92,0,NA,NA,1226.74,266.73,NA,NA,NA,NA,NA,NA,NA,NA
1999,Australia,,Total UNFCCC,25988.91,366918.63,5149.39,74.44,2531.63,2767.27,0,0.01,NA,0,0.17,0,0.49,NA,0.02,NA,0.01,0,NA,NA,0.13,0.02,NA,NA,NA,NA,NA,0.01,1831.82,NA,NA,366.23,2406.61,NA,533353.3,2525.23,1282.99,1024.47,366918.63,144182.82,19726.62,217.78,NA,0.75,6.39,NA,0.23,541.92,0.21,635.48,NA,78.54,NA,19.45,0.01,NA,NA,841.5,182.97,NA,NA,NA,NA,NA,NA,NA,NA
